query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp	  blb_filtering	 blb_resampling	 blb_aggregation	 full_blb
0	1418523820559.633545	15902891649.464308	-1.000000	1216648057.024713	18568744461.439999	0.048473	0.025000	0.613000	0.052000	0.856433	0.065521	0.000000	0.000000	0.000000	0.000000
1	1267131353759.655762	23742690337.296120	-1.000000	1666532255.748268	18568744461.439999	0.017910	0.019000	0.451000	0.040000	1.278637	0.089749	0.000000	0.000000	0.000000	0.000000
2	264790462860.016846	7011722537.728465	-1.000000	1736105345.832812	18568744461.439999	0.009048	0.023000	0.527000	0.033000	0.377609	0.093496	0.000000	0.000000	0.000000	0.000000
3	772598088739.977539	15260646198.033590	-1.000000	1994898297.005957	18568744461.439999	0.022857	0.025000	0.524000	0.037000	0.821846	0.107433	0.000000	0.000000	0.000000	0.000000
4	1312393032719.820312	15325540806.148491	-1.000000	1935613394.178725	18568744461.439999	0.044847	0.028000	0.528000	0.031000	0.825341	0.104240	0.000000	0.000000	0.000000	0.000000
5	148368500280.008301	5259136398.608035	-1.000000	1110597237.840889	18568744461.439999	0.005070	0.020000	0.481000	0.035000	0.283225	0.059810	0.000000	0.000000	0.000000	0.000000
6	686582307179.975220	11208261709.007803	-1.000000	1126991001.307833	18568744461.439999	0.023462	0.024000	0.672000	0.050000	0.603609	0.060693	0.000000	0.000000	0.000000	0.000000
7	791444988180.046997	12011688293.312092	-1.000000	1424321251.701946	18568744461.439999	0.027045	0.023000	0.594000	0.037000	0.646877	0.076705	0.000000	0.000000	0.000000	0.000000
8	745402955220.015503	11666486979.960655	-1.000000	1077195328.111268	18568744461.439999	0.025472	0.024000	0.596000	0.033000	0.628286	0.058011	0.000000	0.000000	0.000000	0.000000
9	2294892090719.157227	31714969297.299282	-1.000000	231116265.002551	18568744461.439999	0.032437	0.034000	0.860000	0.038000	1.707976	0.012447	0.000000	0.000000	0.000000	0.000000
10	640497706059.868774	12518627141.608246	-1.000000	370236105.729657	18568744461.439999	0.025648	0.024000	0.609000	0.045000	0.674177	0.019939	0.000000	0.000000	0.000000	0.000000
11	511047056519.886658	9699562422.872702	-1.000000	955877797.425642	18568744461.439999	0.017463	0.025000	0.526000	0.033000	0.522360	0.051478	0.000000	0.000000	0.000000	0.000000
12	759510770159.599365	15166763677.362410	-1.000000	1568198027.574940	18568744461.439999	0.030612	0.018000	0.484000	0.036000	0.816790	0.084454	0.000000	0.000000	0.000000	0.000000
13	613568617199.925293	10609077465.330620	-1.000000	2500551493.904479	18568744461.439999	0.020967	0.021000	0.525000	0.046000	0.571341	0.134665	0.000000	0.000000	0.000000	0.000000
14	1431204888959.611084	15970178694.735212	-1.000000	1541305430.160049	18568744461.439999	0.048907	0.027000	0.542000	0.037000	0.860057	0.083005	0.000000	0.000000	0.000000	0.000000
15	2684370488398.968262	34203093550.737774	-1.000000	0.000000	18568744461.439999	0.037942	0.041000	1.014000	0.035000	1.841971	0.000000	0.000000	0.000000	0.000000	0.000000
16	1223186593859.977295	14819109986.920099	-1.000000	1576248034.062150	18568744461.439999	0.041798	0.025000	0.611000	0.039000	0.798067	0.084887	0.000000	0.000000	0.000000	0.000000
17	2713328770959.076172	34221669711.532642	-1.000000	864653299.719477	18568744461.439999	0.040305	0.029000	0.701000	0.038000	1.842972	0.046565	0.000000	0.000000	0.000000	0.000000
18	2698520475598.961426	34289556841.487339	-1.000000	0.000000	18568744461.439999	0.038142	0.037000	0.658000	0.034000	1.846628	0.000000	0.000000	0.000000	0.000000	0.000000
19	1130761114560.139893	14271701777.120977	-1.000000	2085255282.783417	18568744461.439999	0.038640	0.026000	0.564000	0.038000	0.768587	0.112299	0.000000	0.000000	0.000000	0.000000
20	1010925018180.197266	13522992191.060581	-1.000000	1424081013.331117	18568744461.439999	0.034545	0.024000	0.560000	0.035000	0.728266	0.076692	0.000000	0.000000	0.000000	0.000000
21	773740265760.034912	11880268889.039011	-1.000000	1224172493.195432	18568744461.439999	0.026440	0.027000	0.593000	0.037000	0.639799	0.065927	0.000000	0.000000	0.000000	0.000000
22	628834672619.935791	10737385752.033205	-1.000000	1661268077.493283	18568744461.439999	0.021488	0.028000	0.580000	0.036000	0.578250	0.089466	0.000000	0.000000	0.000000	0.000000
23	533929837359.946716	10327440523.061453	-1.000000	1137984622.315482	18568744461.439999	0.020917	0.019000	0.465000	0.038000	0.556173	0.061285	0.000000	0.000000	0.000000	0.000000
24	1253474837999.923828	14993357517.230898	-1.000000	1424322641.852370	18568744461.439999	0.042833	0.020000	0.515000	0.039000	0.807451	0.076705	0.000000	0.000000	0.000000	0.000000
25	2114548003919.760986	29722272523.494457	-1.000000	1677207242.137307	18568744461.439999	0.038143	0.019000	0.501000	0.034000	1.600661	0.090324	0.000000	0.000000	0.000000	0.000000
26	3044144440560.288086	35254695213.890915	-1.000000	0.000000	18568744461.439999	0.047552	0.028000	0.665000	0.036000	1.898604	0.000000	0.000000	0.000000	0.000000	0.000000
27	204852279519.964874	3975243369.565055	-1.000000	0.000000	18568744461.439999	0.016718	0.030000	0.745000	0.035000	0.214083	0.000000	0.000000	0.000000	0.000000	0.000000
28	70802796640.004669	2350017910.919442	-1.000000	920214223.378884	18568744461.439999	0.005778	0.027000	0.660000	0.041000	0.126558	0.049557	0.000000	0.000000	0.000000	0.000000
29	232465631999.985809	7457289574.254066	-1.000000	0.000000	18568744461.439999	0.006183	0.041000	0.939000	0.037000	0.401604	0.000000	0.000000	0.000000	0.000000	0.000000
30	2138846139899.229980	29342951203.142319	-1.000000	1374977813.149377	18568744461.439999	0.036158	0.021000	0.500000	0.039000	1.580233	0.074048	0.000000	0.000000	0.000000	0.000000
31	1292054549939.855957	15211856563.659487	-1.000000	1151093723.954718	18568744461.439999	0.044152	0.027000	0.611000	0.051000	0.819218	0.061991	0.000000	0.000000	0.000000	0.000000
32	456414376519.969971	10730377995.600428	-1.000000	0.000000	18568744461.439999	0.011593	0.041000	0.987000	0.037000	0.577873	0.000000	0.000000	0.000000	0.000000	0.000000
33	1223576780579.976562	14821370266.508730	-1.000000	1178578449.604105	18568744461.439999	0.041812	0.030000	0.618000	0.036000	0.798189	0.063471	0.000000	0.000000	0.000000	0.000000
